description,addr,district,road,obj_type,district_num,type_num,area,room,dinning,bath,which_floor,total_floor,total_fee
G7捷運辦公大樓★專營商辦華府房屋,台中市北區華美街二段,北區,華美街二段,辦公,2,2,65.45,0.0,0.0,0.0,6,12,44500.0
租-水湳經貿園區捷運G8群園健康大樓商辦,台中市西屯區河南路一段,西屯區,河南路一段,辦公,8,2,69.2,0.0,0.0,0.0,6,7,48500.0
富邦文心G6捷運商辦7F,台中市北屯區文心路四段,北屯區,文心路四段,辦公,6,2,129.46,0.0,0.0,0.0,7,7,64700.0
#角間臨路透天店面三角窗歡迎安親班鋼琴教室寵物業,台中市北屯區柳陽西街,北屯區,柳陽西街,店面,6,1,60.48,5.0,2.0,4.0,1,4,55000.0
吉租~捷運出口角間透天店面,台中市南區建國南路二段,南區,建國南路二段,店面,3,1,35.0,0.0,0.0,1.0,1,2,45000.0
❖G5捷運站商辦❖屋況全新整理❖直接入駐,台中市北屯區文心路四段,北屯區,文心路四段,辦公,6,2,100.31,0.0,0.0,0.0,21,26,74229.0
一中街商圈臨路1樓黃金雙店面,台中市北區錦南街19號,北區,錦南街,店面,2,1,25.0,0.0,0.0,0.0,1,5,64000.0
一中街商圈臨路1樓黃金雙店面,台中市北區錦南街19號,北區,錦南街,店面,2,1,12.0,0.0,0.0,0.0,1,5,32000.0
屋主自租正一中街角間店面,台中市北區一中街275號,北區,一中街,店面,2,1,12.0,0.0,0.0,0.0,1,5,42000.0
"一中商圈正一中街2樓黃金店面,近中友",台中市北區一中街158號,北區,一中街,店面,2,1,15.0,0.0,0.0,0.0,2,5,19200.0
一中商圈正一中街1樓黃金店面,台中市北區一中街247號,北區,一中街,店面,2,1,13.0,0.0,0.0,0.0,1,5,52000.0
一中商圈正一中街1樓黃金店面,台中市北區一中街156號,北區,一中街,店面,2,1,13.0,0.0,0.0,0.0,1,5,42000.0
正一中街上1樓黃金角間店面,台中市北區一中街160號,北區,一中街,店面,2,1,13.0,0.0,0.0,0.0,1,5,47000.0
G11南屯捷運站旁商辦附三個平車,台中市南屯區南屯路二段,南屯區,南屯路二段,辦公,7,2,137.79,3.0,2.0,0.0,3,16,99700.0
崇德分租辦公室多室任選,台中市北屯區崇德路一段,北屯區,崇德路一段,辦公,6,2,117.14,0.0,0.0,0.0,15,22,20000.0
五期黃金大面寬雙店面,台中市西區大墩十一街,西區,大墩十一街,店面,5,1,110.58,0.0,0.0,0.0,1,3,80300.0
七期南側優質透店,台中市南屯區大川街,南屯區,大川街,店面,7,1,122.1,0.0,0.0,0.0,1,4,85000.0
春水堂龐大空間店面,台中市西區大墩十九街,西區,大墩十九街,店面,5,1,107.94,0.0,0.0,0.0,1,3,85138.0
至尊寶座高樓視野商辦馬上入租,台中市西區五權西路一段,西區,五權西路一段,辦公,5,2,109.66,0.0,0.0,0.0,16,16,95069.0
文心中清捷運站~大坪數商辦有車位,台中市北屯區文心路三段,北屯區,文心路三段,辦公,6,2,108.0,0.0,0.0,0.0,6,22,53000.0
漢口寧夏商辦大樓,台中市西屯區寧夏路,西屯區,寧夏路,辦公,8,2,116.0,0.0,0.0,0.0,3,12,75000.0
東區明暉辦公大樓,台中市東區自由路四段,東區,自由路四段,辦公,4,2,112.69,0.0,0.0,0.0,8,9,56000.0
富邦文心G6捷運商辦6F,台中市北屯區文心路四段,北屯區,文心路四段,辦公,6,2,129.46,0.0,0.0,0.0,6,7,64700.0
中國醫黃金透店,台中市北區大德街,北區,大德街,店面,2,1,97.6,0.0,0.0,0.0,1,4,57070.0
正文心路辦公大樓兩樓可選,台中市北屯區文心路四段,北屯區,文心路四段,辦公,6,2,100.88,0.0,0.0,0.0,6,8,92836.0
西屯住宅區超顯眼金店面,台中市西屯區成都路,西屯區,成都路,店面,8,1,87.0,0.0,0.0,0.0,1,1,59000.0
雙拼8米大面寬南屯店面!適合文武百市!!住辦合一,台中市南屯區永春路,南屯區,永春路,店面,7,1,87.0,0.0,0.0,0.0,1,3,53999.0
昌平路一段百坪店面住家合一,台中市北屯區昌平路一段,北屯區,昌平路一段,店面,6,1,103.0,0.0,0.0,0.0,1,4,51000.0
@昌平路店面整棟出租,台中市北屯區昌平路一段,北屯區,昌平路一段,店面,6,1,104.36,0.0,0.0,0.0,1,5,50000.0
臺灣大道二段黃金店面,台中市西屯區臺灣大道二段,西屯區,臺灣大道二段,店面,8,1,98.16,0.0,0.0,0.0,1,4,80000.0
崇德商圈辦公大樓,台中市北屯區崇德路一段,北屯區,崇德路一段,辦公,6,2,82.81,0.0,0.0,0.0,9,22,73950.0
豐樂公園旁臨路店面可停雙車~可住辦合一,台中市南屯區文心南三路,南屯區,文心南三路,店面,7,1,94.39,0.0,0.0,0.0,1,4,50000.0
西區精選地段整棟透天店面便宜租,台中市西區精美街,西區,精美街,店面,5,1,85.0,5.0,3.0,3.0,1,4,28000.0
文華捷運站近百坪商辦娛樂大樓~專租店面張景勝最謹慎,台中市西屯區寧夏路,西屯區,寧夏路,店面,8,1,95.68,0.0,0.0,0.0,11,12,80000.0
賺錢大角店復興路VS正義街忠孝路火車站,台中市南區正義街,南區,正義街,店面,3,1,76.2,0.0,0.0,0.0,1,11,65000.0
西區精誠公益商圈正精誠路12年別墅店面,台中市西區精誠路,西區,精誠路,店面,5,1,74.2,0.0,0.0,0.0,1,5,52000.0
佑崧全新電梯透天店面適合各大行業&gt;租金誠可談,台中市北屯區軍福九路,北屯區,軍福九路,店面,6,1,70.0,0.0,0.0,0.0,1,5,80000.0
近審計新村草悟道品皇咖啡隔壁超大地坪整棟租透天店面,台中市西區昇平街,西區,昇平街,店面,5,1,68.04,0.0,0.0,0.0,1,3,50000.0
北區賺錢臨路美店住,台中市北區中清路一段,北區,中清路一段,店面,2,1,83.96,0.0,0.0,0.0,1,4,48000.0
✨近建國市場㊣振興路20米大地坪黃金店面,台中市東區振興路,東區,振興路,店面,4,1,78.42,0.0,0.0,0.0,1,4,60000.0
五期朝南樓店Ｄ,台中市南屯區大墩四街,南屯區,大墩四街,店面,7,1,72.22,0.0,0.0,0.0,1,14,85873.0
松竹路大空間店面,台中市北屯區松竹路二段,北屯區,松竹路二段,店面,6,1,86.34,0.0,0.0,0.0,1,5,45000.0
八期透天店面,台中市南屯區文心南三路,南屯區,文心南三路,店面,7,1,87.66,0.0,0.0,0.0,1,5,62000.0
東區全新完工店面,台中市東區精武東路,東區,精武東路,店面,4,1,41.57,0.0,0.0,0.0,1,24,85000.0
朝馬黃金透店,台中市西屯區朝馬路,西屯區,朝馬路,店面,8,1,77.79,0.0,0.0,0.0,1,5,79800.0
@松竹路10M大面寬金店面,台中市北屯區松竹路二段,北屯區,松竹路二段,店面,6,1,75.9,0.0,0.0,0.0,1,12,90000.0
生態公園~門前四車金透店,台中市北屯區松竹路一段,北屯區,松竹路一段,店面,6,1,74.0,0.0,0.0,0.0,1,6,75000.0
中信科博館逸姍❤️一中商圈旁商辦,台中市北區三民路三段,北區,三民路三段,辦公,2,2,74.68,0.0,0.0,0.0,5,12,26000.0
VR!正漢口路百坪商辦採光好空間大好停車，租售並行,台中市西屯區漢口路二段,西屯區,漢口路二段,辦公,8,2,86.77,0.0,0.0,0.0,11,12,71728.0
正文心路五米面寬金店面,台中市北屯區文心路四段,北屯區,文心路四段,店面,6,1,71.55,0.0,0.0,0.0,1,22,73007.0
和⭐東京市銀座區大面寬1+2樓店雙車⭐一中東區干城,台中市東區自由路三段,東區,自由路三段,店面,4,1,64.13,0.0,0.0,0.0,1,15,60000.0
北屯生態公園大面寬樓店,台中市北屯區松竹路一段,北屯區,松竹路一段,店面,6,1,49.24,0.0,0.0,0.0,1,6,75000.0
復興北路採光樓店,台中市南區復興北路,南區,復興北路,店面,3,1,71.17,0.0,0.0,0.0,1,5,55000.0
永春路雙併八米面寬透店！,台中市南屯區永春路,南屯區,永春路,店面,7,1,80.0,0.0,0.0,0.0,1,3,53999.0
復興路VS正義街大面寬角店 近文創園區 台中火車站,台中市南區正義街,南區,正義街,店面,3,1,76.19,0.0,0.0,0.0,1,12,65000.0
☆大力推薦☆西區商辦，適醫美、診所、事務所,台中市西區林森路,西區,林森路,辦公,5,2,70.0,0.0,0.0,0.0,6,7,58000.0
全新佑崧豐採臨路透店,台中市北屯區軍福九路,北屯區,軍福九路,店面,6,1,69.71,0.0,0.0,0.0,1,4,68000.0
☆美術館旁大坪數商辦,台中市西區林森路,西區,林森路,辦公,5,2,61.21,0.0,0.0,0.0,2,7,52000.0
七期親家市政廣場全新裝潢商辦,台中市西屯區市政北七路,西屯區,市政北七路,辦公,8,2,37.8,0.0,0.0,0.0,11,28,95000.0
雙併大面寬店面,台中市西區美村路一段,西區,美村路一段,店面,5,1,62.4,0.0,0.0,0.0,1,2,75000.0
大墩商圈店住合一美樓店,台中市南屯區大墩十四街,南屯區,大墩十四街,店面,7,1,86.0,0.0,0.0,0.0,1,13,82000.0
近上安學區透店,台中市西屯區臺灣大道三段,西屯區,臺灣大道三段,店面,8,1,82.99,0.0,0.0,0.0,1,4,45000.0
一中商圈中友百貨旁邊間金店面/適合各行業,台中市北區五權路,北區,五權路,店面,2,1,60.0,0.0,0.0,0.0,1,3,68000.0
G11南屯捷運站旁商辦附兩個平車,台中市南屯區南屯路二段,南屯區,南屯路二段,辦公,7,2,64.27,2.0,2.0,0.0,3,16,66400.0
重慶商圈吃市透天店面,台中市西屯區重慶路,西屯區,重慶路,店面,8,1,78.97,0.0,0.0,0.0,1,4,42000.0
正文心森林公園稀有商辦,台中市南屯區文心路一段,南屯區,文心路一段,辦公,7,2,32.95,0.0,0.0,0.0,4,13,60650.0
11米大面寬店面好市多狄卡儂文心秀泰豐樂公園十三期,台中市南屯區大墩南路,南屯區,大墩南路,店面,7,1,76.71,0.0,0.0,0.0,1,14,70000.0
世基金融大坪數商辦/多戶可選,台中市北區進化北路,北區,進化北路,辦公,2,2,80.7,0.0,0.0,0.0,9,20,36848.0
北屯鼎天商辦大樓[東森房屋太平中山加盟店],台中市北屯區文心路四段,北屯區,文心路四段,辦公,6,2,70.3,0.0,0.0,0.0,21,26,78225.0
崇德路精華地段~商業用店面1-3樓,台中市北屯區崇德路二段,北屯區,崇德路二段,店面,6,1,67.3,3.0,2.0,3.0,1,25,82354.0
ⒽⒽ❧中區近火車站大坪數雙店面,台中市中區臺灣大道一段,中區,臺灣大道一段,店面,1,1,70.0,0.0,0.0,0.0,1,4,70000.0
一二樓店面，東山商圈金店面面寬6米6，使用60坪~,台中市北屯區松竹路一段,北屯區,松竹路一段,店面,6,1,60.0,0.0,0.0,0.0,1,2,75000.0
全新落成大面寬透店,台中市西區三民西路,西區,三民西路,店面,5,1,53.4,0.0,0.0,0.0,1,5,98000.0
租★七期朝貴路整棟透店,台中市西屯區朝貴路,西屯區,朝貴路,店面,8,1,72.06,0.0,0.0,0.0,1,5,40000.0
全新元城文學苑~挑高6.4米~9米大面寬金店面,台中市北屯區松安街,北屯區,松安街,店面,6,1,50.0,0.0,0.0,0.0,1,14,98000.0
正臺灣大道邊間店面,台中市西區臺灣大道二段,西區,臺灣大道二段,店面,5,1,59.5,0.0,0.0,0.0,1,5,65000.0
七期南側黎明路透店,台中市西屯區黎明路二段,西屯區,黎明路二段,店面,8,1,53.06,0.0,0.0,0.0,1,4,48000.0
黎明東街優質樓店,台中市南屯區黎明東街,南屯區,黎明東街,店面,7,1,50.33,0.0,0.0,0.0,1,9,37204.0
中醫商圈_可餐飲業_尚德街臨路透店,台中市北區尚德街,北區,尚德街,店面,2,1,60.0,0.0,0.0,0.0,1,4,45000.0
"中清路商用透店輕油煙/餐飲可(檳榔攤,娃娃機不行)",台中市北區中清路一段,北區,中清路一段,店面,2,1,60.0,3.0,2.0,3.0,1,4,36000.0
中信科博館逸姍❤️教育大學旁商辦 近草悟道,台中市西區民生路,西區,民生路,辦公,5,2,61.08,0.0,0.0,0.0,2,12,42500.0
勝麗方程市角間金店面1(租),台中市北屯區敦富路,北屯區,敦富路,店面,6,1,37.96,0.0,0.0,0.0,1,15,88000.0
『稀有釋出』水湳大面寬大地坪店面適合診所、補習班,台中市西屯區中清路二段,西屯區,中清路二段,店面,8,1,55.54,0.0,0.0,0.0,1,1,79999.0
中工三路雙平車開放空間辦公室,台中市西屯區福安七街,西屯區,福安七街,辦公,8,2,56.0,0.0,0.0,0.0,1,6,50000.0
北屯區東山路空間好規劃店面,台中市北屯區東山路一段,北屯區,東山路一段,店面,6,1,60.0,0.0,0.0,0.0,1,1,90000.0
軍福九路全新電梯透店(租),台中市北屯區軍福九路,北屯區,軍福九路,店面,6,1,57.17,0.0,0.0,0.0,1,4,68000.0
質感裝潢店面附平面車位,台中市南屯區向上路三段,南屯區,向上路三段,店面,7,1,59.51,0.0,0.0,0.0,1,1,73505.0
正中清路透天店面VS進化北路,台中市北屯區中清路一段,北屯區,中清路一段,店面,6,1,58.0,0.0,0.0,0.0,1,3,43000.0
精誠路中港商圈獨棟辦公室,台中市西區精誠路,西區,精誠路,辦公,5,2,50.0,0.0,0.0,0.0,6,8,30000.0
逢甲正福星路金店面,台中市西屯區福星路,西屯區,福星路,店面,8,1,53.44,0.0,0.0,0.0,1,14,41100.0
ⒽⒽ❧北屯文心捷運商圈①✚②樓店,台中市北屯區文心路四段,北屯區,文心路四段,店面,6,1,48.0,0.0,0.0,0.0,1,12,69721.0
G3捷運站一樓大店面,台中市北屯區旱溪西路三段,北屯區,旱溪西路三段,店面,6,1,59.31,0.0,0.0,0.0,1,4,80000.0
ⒽⒽ❧南區興大商圈單樓層店面,台中市南區南門路,南區,南門路,店面,3,1,50.0,0.0,0.0,0.0,1,5,38000.0
正文心南路面文心秀泰商用店面~專租店面張景勝最謹慎,台中市南屯區文心南路,南屯區,文心南路,店面,7,1,60.0,0.0,0.0,0.0,1,29,88000.0
中華透天厝金店面,台中市西區中華路一段,西區,中華路一段,店面,5,1,52.24,0.0,0.0,0.0,1,2,68000.0
正松竹路上黃金店面,台中市北屯區松竹路二段,北屯區,松竹路二段,店面,6,1,54.34,4.0,2.0,4.0,1,4,55000.0
正昌平路透天店面,台中市北屯區昌平路一段,北屯區,昌平路一段,店面,6,1,57.1,0.0,0.0,0.0,1,4,46000.0
崇德商圈國泰瀋陽庭院店墅,台中市北屯區瀋陽路二段,北屯區,瀋陽路二段,店面,6,1,50.88,0.0,0.0,0.0,1,2,55000.0
北十期大面寬豪墅 適用餐廳 咖啡廳 辦公室,台中市北屯區軍榮街,北屯區,軍榮街,辦公,6,2,46.1,0.0,0.0,0.0,1,4,60000.0
西屯路上近市場黃金店面,台中市西屯區西屯路三段,西屯區,西屯路三段,店面,8,1,46.61,0.0,0.0,0.0,1,16,60000.0
中科路優質倉庫,台中市西屯區中科路,西屯區,中科路,辦公,8,2,50.0,0.0,0.0,0.0,1,1,35000.0
逢甲大面寬透天金店面出租 適合文武百市,台中市西屯區西屯路二段,西屯區,西屯路二段,店面,8,1,49.37,0.0,0.0,0.0,1,3,80000.0
五期捷運G11采固遠見店面,台中市南屯區五權西路二段,南屯區,五權西路二段,店面,7,1,28.59,0.0,0.0,0.0,1,19,57000.0
㊣國美館貴和街1+2F金店舖,台中市西區貴和街,西區,貴和街,店面,5,1,29.26,0.0,0.0,0.0,1,7,43800.0
中友一中麗寶★7米面寬邊間金店面,台中市北區育祥街,北區,育祥街,店面,2,1,43.33,0.0,0.0,0.0,1,5,44000.0
YC【正高工路全新經典奢華賺錢金店面】,台中市南區高工路,南區,高工路,店面,3,1,46.5,0.0,0.0,0.0,1,12,80000.0
三民西路大面寬金店面,台中市西區三民西路,西區,三民西路,店面,5,1,46.84,0.0,0.0,0.0,1,1,78000.0
十期臨路大面寬氣派店面/適外貿 / 特色咖啡店進駐,台中市北屯區軍榮街,北屯區,軍榮街,店面,6,1,46.0,0.0,2.0,1.0,1,4,50000.0
松竹軍功商圈大面寬樓店,台中市北屯區松竹路一段,北屯區,松竹路一段,店面,6,1,46.0,0.0,0.0,0.0,1,7,77000.0
G5鼎天高樓邊間商辦,台中市北屯區文心路四段,北屯區,文心路四段,辦公,6,2,19.26,0.0,0.0,0.0,18,18,42917.0
12單元精銳店面黃金地段春水堂旁全聯對面黃金地段,台中市北屯區松竹五路一段,北屯區,松竹五路一段,店面,6,1,50.0,0.0,0.0,0.0,1,14,57117.0
律師們的最愛/全新單層電梯辦公室,台中市西區法院前街,西區,法院前街,辦公,5,2,45.3,0.0,0.0,0.0,4,5,38000.0
水沐青華-機捷好市多│臨7.5米大面寬全新店面,台中市北屯區敦富三街,北屯區,敦富三街,店面,6,1,23.89,0.0,0.0,0.0,1,15,62000.0
法院前全新電梯辦公室，單層出租,台中市西區法院前街,西區,法院前街,辦公,5,2,45.0,0.0,0.0,0.0,4,5,45000.0
豐穀璞實樓店店面+雙車 台中收租找友哥,台中市北區中清路一段,北區,中清路一段,店面,2,1,44.33,0.0,0.0,0.0,1,14,62699.0
逢甲碧根廣場優質店面,台中市西屯區逢甲路,西屯區,逢甲路,店面,8,1,42.89,0.0,0.0,0.0,2,4,71245.0
國泰MEGA獨棟金店,台中市北屯區竹興街,北屯區,竹興街,店面,6,1,18.62,0.0,0.0,0.0,1,14,63630.0
科博館可營登透天店面 台中收租找友哥,台中市北區育德路,北區,育德路,店面,2,1,40.0,4.0,2.0,3.0,1,3,35000.0
北屯單元12精銳IN未來全新賺錢金店面附雙平面車位,台中市北屯區松竹五路一段,北屯區,松竹五路一段,店面,6,1,45.0,0.0,0.0,0.0,1,14,68000.0
ⒽⒽ❧南屯大墩小坪數可營登廠店,台中市南屯區大墩南路,南屯區,大墩南路,辦公,7,2,45.0,0.0,0.0,0.0,1,1,45000.0
五期裝潢邊間樓店開店讚,台中市南屯區大墩十五街,南屯區,大墩十五街,店面,7,1,45.05,0.0,0.0,0.0,1,7,65000.0
何厝街角間黃金店面,台中市西屯區何厝街,西屯區,何厝街,店面,8,1,43.72,0.0,0.0,0.0,1,5,45000.0
西屯路樓店！競選總部退租,台中市西屯區西屯路二段,西屯區,西屯路二段,店面,8,1,41.85,0.0,0.0,0.0,1,16,34000.0
❤️中信科博館❤️洲際棒球場11.5米大面寬店面,台中市北屯區崇德十路二段,北屯區,崇德十路二段,店面,6,1,41.45,0.0,0.0,0.0,1,1,82000.0
洲際棒球場10.5米大面寬店面,台中市北屯區崇德十路二段,北屯區,崇德十路二段,店面,6,1,42.1,0.0,0.0,0.0,1,1,84000.0
嶺東科大8米面寬金店,台中市南屯區嶺東南路,南屯區,嶺東南路,店面,7,1,39.69,0.0,0.0,0.0,1,12,60000.0
