addr,district,road,description,area,room,bath,dinning,obj_type,which_floor,total_floor,mgnt_fee,rent_fee
台中市北區中清路一段,北區,中清路一段,秒殺大空間✨文心捷運站✨管理員✨陽台獨洗,15.0,1.0,1.0,0.0,獨立套房,11,12,,11000.0
台中市西屯區至善路,西屯區,至善路,電梯✅陽台獨洗✅流理台✅乾溼分離✅子母車,12.0,1.0,1.0,0.0,獨立套房,5,7,"1,001元/月",12499.0
台中市中區成功路,中區,成功路,一房一廳💖大空間💖中華夜市✨陽台獨洗,20.0,1.0,1.0,0.0,獨立套房,1,4,"1,300元/月",11200.0
台中市南區東興路一段60號,南區,東興路一段,2房~含管.網路.第4台/中山醫溫馨舒適,18.34,2.0,1.0,0.0,整層住家,3,4,無,13000.0
台中市北屯區文心路四段,北屯區,文心路四段,尼爾森💠北屯秒殺可租補💠景觀捷運2房,26.0,2.0,1.0,2.0,整層住家,9,15,"2,000元/月",20000.0
台中市北區國強街132巷,北區,國強街,太原火車站獨洗獨曬電梯陽台美套房,8.0,1.0,1.0,0.0,獨立套房,1,7,,8500.0
台中市北區太原八街,北區,太原八街,大間💜陽台獨洗💜室內機位💜採光通風,14.0,1.0,1.0,0.0,獨立套房,2,5,"1,000元/月",10999.0
台中市北區益華街58巷,北區,益華街,等你點進來💜可貓💜陽台獨洗機車好停,12.5,1.0,1.0,0.0,獨立套房,4,4,"1,000元/月",8799.0
台中市北區英士路,北區,英士路,秒殺獨曬衛浴開窗近中國醫,7.0,1.0,1.0,0.0,獨立套房,2,5,,6499.0
台中市南區國光路,南區,國光路,超級大間💜電梯💜陽台獨洗💜超質感,16.0,1.0,1.0,0.0,獨立套房,3,6,"1,800元/月",9999.0
台中市西屯區西屯路二段,西屯區,西屯路二段,⚡富築⚡台水電⚡大三房⚡雙平車⚡高級社區,54.5,3.0,2.0,2.0,整層住家,7,14,"3,500元/月",32999.0
台中市西區大昌街,西區,大昌街,💜南屯💜新三房景觀戶💜生活機能超好,28.0,3.0,1.0,2.0,整層住家,11,12,"3,000元/月",33000.0
台中市西屯區西屯路二段270巷,西屯區,西屯路二段,類一房一廳✨可貓咪✨陽台獨洗✨室內機車位,15.0,1.0,1.0,0.0,獨立套房,5,6,"1,000元/月",6500.0
台中市西屯區市政南一路,西屯區,市政南一路,七期市政文華匯時尚兩房平車,27.0,2.0,1.0,1.0,整層住家,3,12,,26000.0
台中市北屯區松義街,北屯區,松義街,好事多★三房含車位☆台水電★天然瓦斯開伙,30.0,3.0,2.0,2.0,整層住家,6,11,"2,000元/月",23000.0
台中市西屯區河南路三段131號,西屯區,河南路三段,七期/市政101/溫馨套房/機械停車位,19.8,1.0,1.0,1.0,整層住家,12,15,,21000.0
台中市南屯區河南路,南屯區,河南路,七期美三房，台水電，近文心公園,38.0,3.0,2.0,2.0,整層住家,12,15,"2,500元/月",27000.0
台中市南屯區文心南路122號,南屯區,文心南路,免仲介【順天御南院】~正文心路三角窗店面,70.0,0.0,0.0,0.0,店面,1,25,3900元/月,110000.0
台中市西區民生路,西區,民生路,西區🔸全新完工🔸類一房廳🔸可貓咪,13.5,1.0,1.0,0.0,獨立套房,1,7,"1,000元/月",11999.0
台中市西屯區河南路四段,西屯區,河南路四段,七期*巷弄靜宅*大套房@含網路第四台@,20.0,1.0,1.0,0.0,獨立套房,4,5,,15000.0
台中市西屯區西墩北巷1號,西屯區,西墩北巷,西屯逢甲❤室內❤平面汽車大車位,5.0,0.0,0.0,0.0,車位,--,0,,3333.0
台中市北區育才街6巷3號,北區,育才街,北區一中街溫馨套房出租.長短期皆可,6.0,1.0,1.0,0.0,分租套房,2,5,,5500.0
台中市北區五權路,北區,五權路,可貓質感裝潢採光通風管理員近一中中科大,10.0,1.0,1.0,1.0,整層住家,4,12,"1,000元/月",11500.0
台中市西區五權路,西區,五權路,西區陽台獨洗🔸3道門禁🔸電梯系統櫃,10.0,1.0,1.0,0.0,獨立套房,4,8,"1,000元/月",10999.0
台中市南區大慶街一段,南區,大慶街一段,🌸文心大慶🌳全新未住景觀兩房平車,20.0,2.0,2.0,2.0,整層住家,13,15,無,28000.0
台中市北區三民路三段,北區,三民路三段,1房1廳/台水電/可寵物/近商圈,17.6,1.0,1.0,1.0,整層住家,6,10,,18000.0
台中市北區原子街90巷,北區,原子街,🔥中教大中華路商圈🔥電梯兩房獨洗曬,17.0,2.0,1.0,1.0,整層住家,2,7,,17200.0
台中市西屯區逢甲路,西屯區,逢甲路,全配，質感裝潢近逢甲大學，一卡皮箱入住,6.0,1.0,1.0,0.0,獨立套房,3,6,,5800.0
台中市東區樂業路,東區,樂業路,【國聚之禮】樂業路全新角間黃金雙店面,123.35,0.0,2.0,2.0,店面,1,14,,180000.0
台中市西屯區青海路二段,西屯區,青海路二段,西屯✨大四房✨含平車✨寵可談,50.0,4.0,2.0,2.0,整層住家,3,13,"2,176元/月",30000.0
台中市西屯區台灣大道三段,西屯區,台灣大道三段,💖超大四房💖更衣室💖交流道旁!!!,45.0,4.0,2.0,2.0,整層住家,9,24,"6,824元/月",65000.0
台中市西區民生路,西區,民生路,電梯🌟一房一廳🌟落地窗🌟小廚房,13.0,1.0,1.0,0.0,獨立套房,5,7,"1,501元/月",11999.0
台中市西屯區西安街143巷,西屯區,西安街,✨陽台獨洗✨台水電✨子母車✨可寵✨,26.0,2.0,1.0,1.0,整層住家,3,5,"1,001元/月",20999.0
台中市西屯區漢成街,西屯區,漢成街,電梯免爬🔥一房一廳超大間🔥室內機車位,30.0,1.0,1.0,1.0,整層住家,2,3,"2,000元/月",19999.0
台中市南屯區永春東路,南屯區,永春東路,兩房雙衛浴獨洗陽台電梯管理員,22.0,2.0,2.0,2.0,整層住家,12,13,"2,048元/月",21999.0
台中市西屯區太原路一段,西屯區,太原路一段,✨電梯新屋❤大空間✅獨洗獨曬✨子母車,14.0,1.0,1.0,0.0,獨立套房,2,6,"1,000元/月",10000.0
台中市南區工學二街151巷,南區,工學二街,工學商圈樓店.屋況佳只租16000元,16.0,0.0,0.0,0.0,店面,1,14,720元/月,16000.0
台中市中區自由路二段,中區,自由路二段,💘近一中台水電可貓貓獨洗曬管理室流理台,10.0,1.0,1.0,0.0,獨立套房,6,8,"1,000元/月",8250.0
台中市西屯區西屯路三段53巷,西屯區,西屯路三段,💛近全新♧完美格局♧樓中樓～國道💚,15.0,1.0,1.0,0.0,獨立套房,2,3,"1,500元/月",15999.0
台中市西區民生路,西區,民生路,西區🔸全新完工🔸變頻冷氣🔸可貓,10.0,1.0,1.0,0.0,獨立套房,4,5,"1,000元/月",6499.0
台中市西屯區太原路一段,西屯區,太原路一段,❤電梯獨洗曬乾濕分離子母車❤,8.0,1.0,1.0,0.0,獨立套房,3,5,"1,000元/月",9000.0
台中市西屯區文心路三段6號,西屯區,文心路三段,２房２衛＋平車★捷運新市政站★新光大遠百,19.9,2.0,2.0,2.0,整層住家,12,26,無,30000.0
台中市南屯區河南路四段,南屯區,河南路四段,稀有!近捷運52坪大三房休旅車位,52.0,3.0,2.0,3.0,整層住家,12,15,"3,000元/月",29000.0
台中市北區健行路,北區,健行路,秒殺可貓✨陽台獨洗✨流理臺✨只想跟你住,13.0,1.0,1.0,0.0,獨立套房,4,4,"1,000元/月",8799.0
台中市西屯區青海路一段,西屯區,青海路一段,正青海路稀有7米大面寬金店面,61.3,0.0,0.0,0.0,店面,1,8,1250元/月,55000.0
台中市北區中清路一段183號,北區,中清路一段,店面/中清路育德路綠園道黃金三角窗店,25.0,0.0,0.0,0.0,店面,1,4,無,45000.0
台中市西屯區工業區一路,西屯區,工業區一路,現成動力設備停車廣場大,60.0,0.0,0.0,0.0,廠房,1,3,,30000.0
台中市南區仁義街,南區,仁義街,✨高cp值✨獨洗✨角間大面採光✨可寵✨,14.0,1.0,1.0,0.0,獨立套房,2,4,"1,001元/月",10499.0
台中市南區和昌街,南區,和昌街,㊝超質感漂亮㊝陽台獨洗㊝衛浴開窗㊝系統櫃,13.0,1.0,1.0,0.0,獨立套房,4,7,800元/月,8499.0
台中市北區西屯路一段,北區,西屯路一段,🌹一房廳✦可貓✦流理台✦子母車✦機車位,16.0,1.0,1.0,1.0,整層住家,3,4,"1,000元/月",15800.0
台中市西區永安街,西區,永安街,台中西區永安街6樓(無電梯)已有人下訂,20.0,2.0,1.0,1.0,整層住家,6,6,無,9500.0
台中市西屯區西安街142巷,西屯區,西安街,✨高CP✨機車位✨陽台✨子母車✨衛浴窗✨,6.0,0.0,0.0,0.0,車位,6,6,301元/月,3899.0
台中市南屯區河南路四段,南屯區,河南路四段,⚡富築⚡台水電⚡含平車⚡大三房⚡電梯管理,35.0,3.0,2.0,3.0,整層住家,12,14,"2,500元/月",29500.0
台中市西區向上南路一段,西區,向上南路一段,✨高CP值✨電梯✨子母車✨飲水機✨陽台✨,8.0,1.0,1.0,0.0,獨立套房,2,5,401元/月,5899.0
台中市西屯區惠中路一段51號,西屯區,惠中路一段,精銳市政廳一層兩戶3+1房雙車位⭐七期,101.0,4.0,2.0,2.0,整層住家,16,23,"12,000元/月",77000.0
台中市北屯區崇德路二段,北屯區,崇德路二段,🔥大降價💖崇德捷運站雙主臥3房車位,27.3,3.0,3.0,2.0,整層住家,7,25,,23500.0
台中市北區中華西街,北區,中華西街,可短租❤一中商圈中國醫❤有陽台❤室內機車,10.0,1.0,1.0,0.0,獨立套房,2,5,"1,000元/月",6200.0
台中市南區和昌街,南區,和昌街,流理台㊝乾濕分離㊝陽台獨洗㊝室內機車位,11.0,0.0,0.0,0.0,車位,4,6,"1,000元/月",8500.0
台中市西屯區逢明街29巷70號,西屯區,逢明街,My逢甲🦌青海逢甲精緻半隔間一房平車,21.0,1.0,1.0,1.0,整層住家,3,12,"2,000元/月",25000.0
台中市西區民生路,西區,民生路,稀有1+1房❤陽台獨洗❤流理台❤乾濕分離,19.0,2.0,1.0,1.0,整層住家,2,5,"1,500元/月",11999.0
台中市西屯區環中路三段69號,西屯區,環中路三段,聚合發天廈🦌朝馬七期美宅3+1房平車,92.0,3.0,3.0,2.0,整層住家,3,38,"9,000元/月",58000.0
台中市南區文心南路,南區,文心南路,阿尼❤️歡迎致電📲南區醒目大面寬角店,118.65,0.0,0.0,0.0,店面,1,20,8000元/月,250000.0
台中市北區西屯路二段337巷,北區,西屯路二段,💘可貓超大間一房一廳流理台子母車飲水機,15.0,1.0,1.0,0.0,獨立套房,3,4,801元/月,15999.0
台中市西屯區福林路,西屯區,福林路,可租補-酒店式管理東海工業區中科榮總,20.0,2.0,2.0,2.0,整層住家,2,9,,27000.0
台中市北區梅亭街,北區,梅亭街,近中國醫！陽台！洗衣機！電梯套房,7.0,1.0,1.0,0.0,獨立套房,2,6,,8000.0
台中市東區樂業南路188號,東區,樂業南路,湖濱新綻32000!!含管理費,41.0,3.0,2.0,1.0,整層住家,9,15,,32000.0
台中市北區崇德路一段133巷,北區,崇德路一段,秒殺可寵●中國醫●中科大台體●獨洗獨曬,9.5,1.0,1.0,0.0,獨立套房,4,5,"1,000元/月",5999.0
台中市西屯區逢明街29弄70號,西屯區,逢明街,💕My逢甲💕舒適二改一大空間含管,21.0,1.0,1.0,1.0,整層住家,10,12,,24000.0
台中市中區民族路121巷,中區,民族路,✨高CP值✨可寵✨獨洗凸窗曬✨大坪數✨,15.0,1.0,1.0,0.0,獨立套房,4,6,"1,301元/月",6699.0
台中市中區三民路二段,中區,三民路二段,快🔥降價🏠台中女中高樓層全新3房平車,21.0,3.0,2.0,1.0,整層住家,8,11,"2,500元/月",27000.0
台中市西屯區福星路,西屯區,福星路,逢甲僑光●電梯陽台獨曬●生活機能佳,9.5,1.0,1.0,0.0,獨立套房,4,7,"1,000元/月",6499.0
台中市西屯區四川路87巷,西屯區,四川路,西屯-漢口青海雙商圈全新一房一廳台水台電,12.0,1.0,1.0,0.0,獨立套房,2,12,,11500.0
台中市西區五權路,西區,五權路,🌈美術館、五權車站、國圖館2房陽台獨洗,20.0,2.0,1.0,1.0,整層住家,2,5,,15000.0
台中市南屯區大隆路,南屯區,大隆路,阿尼❤️歡迎致電📲可文可武黃金透店,52.7,0.0,0.0,0.0,店面,1,3,,55000.0
台中市南區工學二街129號,南區,工學二街,套房出租採光佳,8.0,1.0,1.0,0.0,分租套房,3,12,,6800.0
台中市西屯區國安二路179號,西屯區,國安二路,國安路🍊有隔間一房/玉門中科/福科東海,21.0,1.0,1.0,1.0,整層住家,3,22,"2,000元/月",21000.0
台中市西屯區國安二路,西屯區,國安二路,🔥百里最強🔥全新首住🔥管員租補報稅,14.0,1.0,1.0,0.0,獨立套房,6,10,"1,500元/月",14000.0
台中市南屯區文心南三路,南屯區,文心南三路,Costco南苑公園💥1+1房⚡17坪,17.0,1.0,1.0,0.0,獨立套房,3,4,,12500.0
台中市北區雙十路二段,北區,雙十路二段,❤可寵❤電梯❤一中❤中國醫❤機車位,15.0,2.0,1.0,1.0,整層住家,3,7,,16999.0
台中市西屯區西安街277巷,西屯區,西安街,焦凡凡💕逢甲大學旁~電梯大套室內7坪,7.8,1.0,1.0,0.0,獨立套房,4,7,,7800.0
台中市北區崇德路一段,北區,崇德路一段,秒殺近一中✨採光陽台✨電梯管理員✨,10.0,1.0,1.0,0.0,獨立套房,4,11,"1,000元/月",4299.0
台中市西區精誠二街,西區,精誠二街,廣三♥臨路可三車透店♥歡迎婚紗美容輕食～,80.0,0.0,0.0,0.0,店面,1,2,,125000.0
台中市北區練武路177巷,北區,練武路,一中商圈3+1房ˇ電梯採光佳ˇ可社宅租補,31.45,3.0,2.0,1.0,整層住家,7,7,"1,000元/月",19000.0
台中市西屯區文華路3號,西屯區,文華路,可寵逢甲商圈★台水電獨立套房★可租汽車位,10.0,1.0,1.0,0.0,獨立套房,6,6,,9999.0
台中市北區柳川東路四段,北區,柳川東路四段,⭐可報稅租補❤️陽台獨洗❤️衛浴開窗❤️新,15.0,1.0,1.0,,住宅,3,6,1001,9999.0
台中市西屯區西屯路二段上石北二巷,西屯區,西屯路二段上石北二巷,⭐電梯管理員❤️陽台獨洗❤️可貓貓,16.0,1.0,1.0,,住宅,3,10,1001,12999.0
台中市西屯區至善路82巷,西屯區,至善路,🌟逢甲最頂🌟機能採光超好🌟電梯新屋,10.0,1.0,1.0,0.0,獨立套房,5,6,"1,200元/月",12300.0
台中市西屯區市政北二路,西屯區,市政北二路,NTC漂亮屋況稀有釋出－專營商辦華府房屋,79.96,0.0,0.0,0.0,辦公,10,33,,95952.0
台中市南屯區河南路四段522號,南屯區,河南路四段,博識新兩房平車🌈河南路大墩學區,18.0,2.0,1.0,2.0,整層住家,4,24,"2,107元/月",32000.0
台中市北屯區崇德路二段319號,北屯區,崇德路二段,雙主臥_機上休旅車二樓整層+空中花園,30.0,3.0,3.0,2.0,整層住家,7,25,,26000.0
台中市中區三民路二段,中區,三民路二段,可寵💛台水台電💛流理台💛獨洗,12.0,1.0,1.0,0.0,獨立套房,6,11,450元/月,8799.0
台中市南區南門路59巷82號,南區,南門路,出租優質套房,5.0,1.0,1.0,0.0,獨立套房,4,6,,4500.0
台中市南區南門路59巷82號,南區,南門路,出租優質雅房,3.0,1.0,0.0,0.0,雅房,3,3,,3500.0
台中市西屯區國安二路179號,西屯區,國安二路,中科W時代👌兩房兩衛浴平車/國聚之悅,28.0,2.0,2.0,2.0,整層住家,14,22,"3,000元/月",28000.0
台中市北區育才南街,北區,育才南街,✨高CP值✨機車位✨系統裝潢✨近學區✨,8.0,0.0,0.0,0.0,車位,6,6,"1,001元/月",4799.0
台中市北區五權路,北區,五權路,可貓咪ღ新裝潢沙發ღ陽台獨洗ღ電梯管理員,12.0,1.0,1.0,1.0,整層住家,4,12,"1,000元/月",11500.0
台中市西屯區青海路二段,西屯區,青海路二段,青海赫禮翁🥇超大三房雙平車/七期市政,56.0,3.0,2.0,2.0,整層住家,3,25,"5,885元/月",75000.0
台中市西屯區工業區三十八路50號,西屯區,工業區三十八路,地下室大空間出租可倉庫可辦公,15.0,0.0,0.0,0.0,辦公,B1,2,,8000.0
台中市南區忠孝路,南區,忠孝路,便宜大間ღ獨洗曬ღ小資首選ღ,10.0,1.0,1.0,0.0,獨立套房,3,5,800元/月,5499.0
台中市西屯區西屯路二段249巷3弄5號,西屯區,西屯路二段,逢甲商圈三房平車🌐近國道/櫻花市場,27.0,3.0,2.0,2.0,整層住家,3,15,"3,000元/月",29000.0
台中市西屯區朝馬路166號,西屯區,朝馬路,大四房雙車👌七期潮洋/環中/朝馬/天廈,65.0,4.0,2.0,2.0,整層住家,20,28,"5,000元/月",55000.0
台中市西區西屯路二段,西區,西屯路二段,⭐超值❤️採光獨曬❤️衛浴開窗,10.0,1.0,1.0,,住宅,2,5,1001,6999.0
台中市西區精忠街,西區,精忠街,⭐超便宜❤️陽台獨洗❤️秒殺物件,9.0,1.0,1.0,,住宅,4,5,1001,4999.0
台中市西屯區福上巷龍欣三弄,西屯區,福上巷龍欣三弄,⭐逢甲首選❤️電梯❤️陽台獨曬❤️年繳優惠,12.0,1.0,1.0,,住宅,7,8,1001,8499.0
台中市北區五權路,北區,五權路,⭐台水電❤️獨立門戶❤️陽台獨洗,16.0,1.0,1.0,,住宅,4,10,1010,13500.0
台中市北屯區敦富三街,北屯區,敦富三街,機捷💖臨路面寬十米百坪店面💖我主承辦,126.0,0.0,0.0,0.0,店面,1,3,無,280000.0
台中市北屯區景賢二路,北屯區,景賢二路,班芙春泉⭐一房一廳⭐平面車位⭐高樓好視野,18.0,1.0,1.0,1.0,整層住家,9,11,"2,000元/月",20000.0
台中市北屯區崇德十六路,北屯區,崇德十六路,破盤!仁美國小11期50坪休旅車四冷氣,50.0,3.0,2.0,2.0,整層住家,15,15,"3,500元/月",28000.0
台中市北屯區后庄路860巷,北屯區,后庄路,電梯大坪數套房，獨立洗曬衣，系統櫃大收納,9.0,1.0,1.0,0.0,分租套房,5,6,,9000.0
台中市西屯區大容西街,西屯區,大容西街,大墩二房ˇ全配採光好近捷運ˇ可配合社宅,21.45,2.0,1.0,1.0,整層住家,10,12,"1,600元/月",22000.0
台中市西屯區漢成街,西屯區,漢成街,秒殺可狗@全新大一房一廳@超大衣櫃@沙發,18.0,1.0,1.0,0.0,獨立套房,5,6,"1,500元/月",19999.0
台中市西屯區文華路,西屯區,文華路,2F獨立洗曬大套房，大空間大收納,9.0,1.0,1.0,0.0,獨立套房,2,8,,7000.0
台中市西區朝陽街,西區,朝陽街,期待💜系統裝潢💜陽台獨洗💜乾溼衛浴,11.0,1.0,1.0,0.0,獨立套房,3,7,"1,000元/月",7499.0
台中市南區東興路一段,南區,東興路一段,台水/台電/獨立套房‧中山醫大陽台面公園,12.5,1.0,1.0,0.0,獨立套房,6,32,700元/月,7500.0
台中市北屯區環中東路二段285號,北屯區,環中東路二段,北屯3年屋3房附~休旅車位出租,38.02,3.0,2.0,2.0,整層住家,8,15,"2,606元/月",25000.0
台中市西區華美西街一段54號,西區,華美西街一段,近科博館sogo勤美綠園道透天套房出租,7.0,1.0,1.0,0.0,住宅,3,5,500元/月,5300.0
台中市北屯區崇德十六路,北屯區,崇德十六路,破盤!萬坪公園11期50坪休旅車四冷氣,51.0,3.0,2.0,2.0,整層住家,2,15,,28000.0
台中市西屯區黎明路二段82號,西屯區,黎明路二段,🌸黎明商圈～三房全配～含平車🌸,35.0,3.0,2.0,2.0,整層住家,9,14,"1,833元/月",31000.0
台中市西屯區西屯路二段,西屯區,西屯路二段,逢甲熱鬧商圈全新1-3樓大店面附車位,61.0,0.0,2.0,3.0,店面,1,23,,130000.0
台中市北屯區景賢路,北屯區,景賢路,景賢Ｂ,7.0,1.0,0.0,0.0,住宅,1,4,,14000.0
台中市西屯區福林路,西屯區,福林路,正福林路燙金店面Ａ,10.4,0.0,1.0,1.0,店面,1,5,,55000.0
台中市南屯區文心路一段,南屯區,文心路一段,文心捷運超大三房★平車★可寵★戶籍,50.0,3.0,2.0,2.0,整層住家,9,23,"3,000元/月",28000.0
台中市東區精武路,東區,精武路,小資必看⭐近台體大⭐可寵⭐大面採光⭐秒殺,10.37,1.0,1.0,0.0,獨立套房,3,5,"1,000元/月",5500.0
台中市南屯區益豐東街,南屯區,益豐東街,✨銳宇GTI✨精美系統三房平車❤可寵❤黎,22.0,2.0,1.0,2.0,整層住家,3,12,無,33000.0
台中市西屯區福上巷,西屯區,福上巷,可寵大套房⭐衛浴開窗⭐流理臺⭐陽台獨洗曬,12.0,1.0,1.0,0.0,獨立套房,5,7,250元/月,15000.0
台中市南區忠孝路148巷,南區,忠孝路,近興大.忠孝夜市.興大附農.安靜採光佳,5.0,1.0,1.0,0.0,獨立套房,1,4,,6500.0
台中市北區中山路,北區,中山路,北區🔥北歐風🔥可貓狗🔥近日日新戲院,10.0,1.0,1.0,0.0,獨立套房,5,7,,15000.0
台中市北屯區太原路三段,北屯區,太原路三段,免服務費/總太明日3房/2020聚作参考,33.0,3.0,2.0,2.0,整層住家,8,14,,25000.0
台中市西屯區市政北五路,西屯區,市政北五路,七期新光三越/國家歌劇院/3+1房/平車,60.0,3.0,2.0,2.0,整層住家,17,25,"5,000元/月",50000.0
台中市南屯區嶺東路,南屯區,嶺東路,☆南屯嶺東精科☆1+3樓門前停車樓店,48.353,0.0,0.0,0.0,店面,1,3,,40000.0
台中市北區篤行路,北區,篤行路,✨短租首選✨可寵可狗✨獨洗陽台✨子母車,12.0,1.0,1.0,0.0,獨立套房,2,5,"1,000元/月",8500.0
台中市西屯區逢明街29巷,西屯區,逢明街,✨MY逢甲✨一房超大空間含管❤W時代,21.0,1.0,1.0,1.0,整層住家,10,12,,24000.0
台中市西屯區中清路二段1250巷,西屯區,中清路二段,禁菸省電變頻冷暖氣僑光5分逢甲中科9分鐘,6.0,1.0,1.0,0.0,獨立套房,3,4,,6500.0
台中市西屯區工業區一路,西屯區,工業區一路,工業區一路上近東海二學區兩廁所含水天然氣,5.0,1.0,0.0,0.0,雅房,5,5,,5200.0
台中市西屯區逢明街29巷,西屯區,逢明街,稀有採光舒適正兩房😍MY逢甲勝美,26.0,2.0,1.0,2.0,整層住家,4,12,"2,000元/月",26000.0
台中市北屯區大連路一段252號,北屯區,大連路一段,全新家具電~套房~多戶可選,10.0,1.0,1.0,1.0,住宅,5,5,,13500.0
台中市中區成功路,中區,成功路,Z成功路vs市府路★一樓店面~近台灣大道,17.06,,1.0,1.0,店面,1,5,,20000.0
台中市北區西屯路一段337巷,北區,西屯路一段,一房一廳🔥可貓🔥子母車🔥陽台獨洗,15.0,1.0,1.0,1.0,整層住家,3,4,"1,000元/月",15800.0
台中市南屯區大墩七街,南屯區,大墩七街,🔥七期知名建案🌟家俱電全配🌟平面車,33.0,2.0,1.0,2.0,整層住家,14,20,"3,000元/月",30000.0
台中市中區自由路二段,中區,自由路二段,可寵套房⭐台水電⭐採光佳⭐洗脫烘⭐流理臺,10.0,1.0,1.0,0.0,獨立套房,6,11,450元/月,8800.0
台中市北區美德街1912號,北區,美德街,社會住宅正中國醫旁4房4衛3樓免仲費,24.4,4.0,4.0,1.0,整層住家,3,5,50元/月,18000.0
台中市南區復興路一段,南區,復興路一段,總管家|南區獨洗曬套房,11.35,1.0,1.0,0.0,獨立套房,5,12,715元/月,8500.0
台中市西區美村路一段,西區,美村路一段,【SOGO】優質社區【2房平面車位含管】,38.05,2.0,1.0,2.0,整層住家,4,13,,26999.0
台中市北屯區遼寧路二段,北屯區,遼寧路二段,松竹商圈💰11米面寬黃金大角店1+2F,62.0,3.0,3.0,2.0,住宅,1,9,"2,934元/月",58000.0
