description,addr,district,road,obj_type,district_num,type_num,area,room,dinning,bath,which_floor,total_floor,total_fee
一房一廳🔥可貓🔥子母車🔥陽台獨洗,台中市北區西屯路一段337巷,北區,西屯路一段,整層住家,2,3,15.0,1.0,1.0,1.0,3,4,16800.0
🔥七期知名建案🌟家俱電全配🌟平面車,台中市南屯區大墩七街,南屯區,大墩七街,整層住家,7,3,33.0,2.0,2.0,1.0,14,20,33000.0
可寵套房⭐台水電⭐採光佳⭐洗脫烘⭐流理臺,台中市中區自由路二段,中區,自由路二段,獨立套房,1,1,10.0,1.0,0.0,1.0,6,11,9250.0
社會住宅正中國醫旁4房4衛3樓免仲費,台中市北區美德街1912號,北區,美德街,整層住家,2,3,24.4,4.0,1.0,4.0,3,5,18050.0
總管家|南區獨洗曬套房,台中市南區復興路一段,南區,復興路一段,獨立套房,3,1,11.35,1.0,0.0,1.0,5,12,9215.0
西屯區>獨曬💭光線佳,台中市西屯區河南路二段,西屯區,河南路二段,獨立套房,8,1,8.0,1.0,0.0,1.0,3,6,7000.0
✨MY逢甲✨大一房有浴缸回家就是放鬆❤,台中市西屯區逢明街29巷,西屯區,逢明街,整層住家,8,3,13.0,1.0,1.0,1.0,3,12,27000.0
米平方【新杜拜】溫馨漂亮大兩房，機上車位,台中市西屯區國安一路,西屯區,國安一路,整層住家,8,3,30.0,2.0,2.0,1.0,7,24,27300.0
❣簡約舒適❣小資首選❤近秀泰一中❤,台中市東區精武路,東區,精武路,獨立套房,4,1,8.0,1.0,0.0,1.0,5,5,6300.0
★絕美裝潢★一房一廳★獨洗陽台★流理台,台中市北屯區后庄北路177巷,北屯區,后庄北路,獨立套房,6,1,12.0,1.0,0.0,1.0,2,8,12000.0
超新●可報稅租屋補助●電梯陽台獨洗,台中市北區健行路,北區,健行路,獨立套房,2,1,12.0,1.0,0.0,1.0,3,7,10999.0
🔥全新可貓🌟陽台獨洗曬🌟採光機能好,台中市北區三民路三段,北區,三民路三段,獨立套房,2,1,9.0,1.0,0.0,1.0,5,6,11500.0
秒殺大空間★獨洗陽台★室內機車★衛浴開窗,台中市北區太原八街,北區,太原八街,獨立套房,2,1,14.0,1.0,0.0,1.0,4,5,12000.0
✨W時代✨舒適兩房平車❤國聚領袖中科❤,台中市西屯區國安二路,西屯區,國安二路,整層住家,8,3,28.0,2.0,2.0,2.0,14,22,31000.0
★正一房一廳★可報稅補助戶籍★家電全配,台中市西屯區國安二路,西屯區,國安二路,整層住家,8,3,20.0,1.0,1.0,1.0,6,12,20700.0
近逢甲三房附機械車道平面車位!喜歡能談,台中市西屯區何厝東二街103號,西屯區,何厝東二街,整層住家,8,3,26.0,3.0,2.0,1.0,6,8,25000.0
西區🚶‍♂️套房多間可選,台中市西區大全街,西區,大全街,分租套房,5,2,8.0,1.0,0.0,1.0,2,5,8500.0
🌟正一房廳🌟百里最強裝潢🌟乾濕分離,台中市北屯區綏遠路二段,北屯區,綏遠路二段,獨立套房,6,1,15.0,1.0,0.0,1.0,5,7,18500.0
可貓🔥可租補🔥電梯🔥流理臺,台中市北區成功路,北區,成功路,獨立套房,2,1,10.0,1.0,0.0,1.0,3,6,11500.0
🌈超省台水電🌟養寵照過來🌟採光陽台,台中市北區永興街298巷,北區,永興街,獨立套房,2,1,9.0,1.0,0.0,1.0,3,5,11000.0
里長伯🔥租賃好案｜機捷視野三房｜需傢俱,台中市北屯區南興路,北屯區,南興路,整層住家,6,3,26.0,3.0,2.0,2.0,9,15,30000.0
全新建案★飯店管理★車位★廚房★高樓景觀,台中市西屯區福誠路,西屯區,福誠路,獨立套房,8,1,20.0,1.0,0.0,1.0,11,12,40700.0
台水電⭐電梯管理員⭐採光佳⭐汽機車好停⭐,台中市西屯區至善路,西屯區,至善路,獨立套房,8,1,10.12,1.0,0.0,1.0,4,7,7233.0
❤獨洗陽台❤台電❤電梯套房❤附高檔家電❤,台中市南區忠明南路,南區,忠明南路,獨立套房,3,1,10.0,1.0,0.0,1.0,4,5,9999.0
🌐國聚之悅🌐兩房平車/中科商圈,台中市西屯區福科路526巷1號,西屯區,福科路,整層住家,8,3,25.0,2.0,2.0,2.0,5,14,35605.0
🔥電梯🔥子母車🔥共洗免投🔥近逢甲,台中市西屯區福上巷,西屯區,福上巷,獨立套房,8,1,7.0,1.0,0.0,1.0,5,7,6700.0
飯店式套房★獨洗陽台★流理台★可報稅補助,台中市西屯區國安二路,西屯區,國安二路,獨立套房,8,1,15.0,1.0,0.0,1.0,5,12,15500.0
陽台獨洗🔥子母車🔥飲水機🔥新屋,台中市西屯區天水中街,西屯區,天水中街,獨立套房,8,1,7.0,1.0,0.0,1.0,3,6,9800.0
🌟小資首選🌟大間電梯很便宜🌟機能佳,台中市北區進化北路,北區,進化北路,獨立套房,2,1,6.0,1.0,0.0,1.0,3,8,6500.0
陽台/獨洗曬/子母車/飲水機/流理台,台中市西區公益路124巷,西區,公益路,獨立套房,5,1,7.0,1.0,0.0,1.0,2,3,13500.0
台電🔥電梯🔥子母車🔥陽台獨洗管理員,台中市西屯區寧夏西四街,西屯區,寧夏西四街,獨立套房,8,1,8.0,1.0,0.0,1.0,5,8,9000.0
🌟百里最大間🌟陽台獨洗曬🌟機能及佳,台中市北區英才路,北區,英才路,獨立套房,2,1,15.0,1.0,0.0,1.0,2,5,14000.0
✨飯店式管理2房2衛含平車✨中科國安西屯,台中市西屯區國安二路,西屯區,國安二路,整層住家,8,3,22.0,1.0,1.0,1.0,3,22,23000.0
兩房.傢俱全.平面車位.可報稅近IKEA,台中市南屯區大墩七街,南屯區,大墩七街,整層住家,7,3,20.0,2.0,2.0,1.0,6,24,36000.0
健康爬梯套房★家具可談★北平商圈★開窗,台中市北區青島路一段61巷,北區,青島路一段,獨立套房,2,1,8.0,1.0,0.0,1.0,5,6,5500.0
台電🔥電梯🔥子母車🔥管理員🔥可貓,台中市中區成功路248巷,中區,成功路,整層住家,1,3,15.0,2.0,2.0,1.0,8,8,22500.0
電梯管理員.獨洗曬.台水電.可寵貓😺,台中市中區自由路二段,中區,自由路二段,獨立套房,1,1,10.0,1.0,0.0,1.0,6,11,9250.0
🌈超級大間🌟沙發小客廳🌟陽台獨洗曬,台中市北屯區四平路,北屯區,四平路,獨立套房,6,1,9.0,1.0,0.0,1.0,2,6,12000.0
🌟大到你會怕🌟超強採光🌟陽台獨洗曬,台中市北區太原八街,北區,太原八街,獨立套房,2,1,13.0,1.0,0.0,1.0,4,5,12000.0
里長伯🔥好屋推薦｜兩房平車需自備傢俱｜,台中市北屯區后庄二街90號,北屯區,后庄二街,整層住家,6,3,16.0,2.0,2.0,1.0,8,11,27000.0
順天獅子城🌷北區綠園道,台中市北區太原路二段,北區,太原路二段,整層住家,2,3,15.66,2.0,2.0,1.0,2,14,19298.0
一中⭐新裝潢⭐可貓⭐可租補⭐電梯,台中市北區成功路,北區,成功路,獨立套房,2,1,10.0,1.0,0.0,1.0,3,7,10000.0
【三加一房】家具全配💗可戶籍💗機械車,台中市西屯區寧夏路,西屯區,寧夏路,整層住家,8,3,32.0,3.0,2.0,2.0,7,10,30000.0
全新建案✅報稅補助✅兩房兩衛✅質感系統櫃,台中市西屯區西屯路三段,西屯區,西屯路三段,整層住家,8,3,30.0,2.0,2.0,2.0,6,9,27000.0
🐶🐈可寵物三房傢俱電全配💖平面車位,台中市北屯區敦富路,北屯區,敦富路,整層住家,6,3,25.0,3.0,2.0,1.0,4,12,29000.0
🏆秒殺大間🌟陽台獨洗曬🌟無敵採光,台中市南區台中路,南區,台中路,獨立套房,3,1,11.0,1.0,0.0,1.0,3,6,11800.0
無印風裝潢✨陽台獨洗🐱可貓生活機能佳,台中市北屯區太原路三段,北屯區,太原路三段,整層住家,6,3,25.0,2.0,1.0,1.0,10,16,26000.0
中興大⭐台電⭐陽台套房⭐新套房⭐電梯,台中市南區忠明南路867巷,南區,忠明南路,獨立套房,3,1,10.0,1.0,0.0,1.0,4,7,10000.0
廣天宮三房#無時無刻保佑#租房明年買房,台中市北屯區遼陽北一街,北屯區,遼陽北一街,整層住家,6,3,26.0,3.0,2.0,2.0,6,7,20500.0
西屯全新大套🌟一房一廳一衛🌟台水電,台中市西屯區合江街,西屯區,合江街,獨立套房,8,1,20.0,1.0,0.0,1.0,9,12,25500.0
系統櫃🔥採光佳🔥子母車🔥陽台,台中市西區忠誠街,西區,忠誠街,獨立套房,5,1,8.0,1.0,0.0,1.0,2,5,7700.0
🌈秒殺西區🌈高檔裝潢🌈獨洗🌈陽台,台中市西區樂群街,西區,樂群街,獨立套房,5,1,11.0,1.0,0.0,1.0,4,5,9000.0
崇德文心寵物友善社區佛心屋主不拒寵物入住,台中市北屯區崇德路二段,北屯區,崇德路二段,整層住家,6,3,29.4,1.0,1.0,1.0,13,17,22000.0
超稀有大套房#台電包水#陽台獨洗曬,台中市西區自立街,西區,自立街,獨立套房,5,1,15.0,1.0,0.0,1.0,3,4,13500.0
✨秒殺✨小資美房✨共洗窗曬✨子母車✨飲水機✨管理室,台中市西區民權路,西區,民權路,住宅,5,4,10.0,1.0,0.0,1.0,4,15,7500.0
🌵兩房含平車管🌵全配🌵生活機能佳,台中市中區三民路二段,中區,三民路二段,整層住家,1,3,18.0,2.0,2.0,1.0,11,11,30000.0
台水電❤陽台獨洗❤一房一廳❤18坪大空間,台中市南區美村南路,南區,美村南路,獨立套房,3,1,18.0,1.0,0.0,1.0,4,5,9000.0
🌟全新完工🌟獨洗曬🌟一層兩戶流理臺,台中市北屯區中清路二段1250巷,北屯區,中清路二段,獨立套房,6,1,9.0,1.0,0.0,1.0,4,5,9000.0
⭐全新大樓⭐正二大房⭐附車位⭐家俱全⭐,台中市南區大慶街一段,南區,大慶街一段,整層住家,3,3,23.0,2.0,2.0,1.0,4,12,29500.0
文心中清⭐小資省荷包⭐全新電梯⭐室內機車⭐共洗獨曬,台中市西屯區漢成六街,西屯區,漢成六街,住宅,8,4,12.0,1.0,1.0,1.0,5,8,6000.0
